Date,Player,Opponent,Outcome,Game URL
2025-05-13,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/812770864
2025-05-13,euratoole,xensprinkles,win,https://www.chess.com/game/daily/812770864
2025-05-14,xensprinkles,euratoole,win,https://www.chess.com/game/daily/813968680
2025-05-14,euratoole,xensprinkles,loss,https://www.chess.com/game/daily/813968680
2025-05-15,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/814088192
2025-05-15,euratoole,xensprinkles,win,https://www.chess.com/game/daily/814088192
2025-05-18,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/814915558
2025-05-18,euratoole,xensprinkles,win,https://www.chess.com/game/daily/814915558
2025-05-20,xensprinkles,euratoole,win,https://www.chess.com/game/daily/815995702
2025-05-20,euratoole,xensprinkles,loss,https://www.chess.com/game/daily/815995702
2025-05-21,jcorr92,xensprinkles,win,https://www.chess.com/game/daily/813992080
2025-05-21,xensprinkles,jcorr92,loss,https://www.chess.com/game/daily/813992080
2025-05-22,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/816455750
2025-05-22,euratoole,xensprinkles,win,https://www.chess.com/game/daily/816455750
2025-05-27,xensprinkles,teamoth,loss,https://www.chess.com/game/daily/818725612
2025-05-27,teamoth,xensprinkles,win,https://www.chess.com/game/daily/818725612
2025-05-31,jcorr92,euratoole,win,https://www.chess.com/game/daily/816858286
2025-05-31,euratoole,jcorr92,loss,https://www.chess.com/game/daily/816858286
2025-05-31,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/819521176
2025-05-31,euratoole,xensprinkles,win,https://www.chess.com/game/daily/819521176
2025-06-01,xensprinkles,teamoth,loss,https://www.chess.com/game/daily/819528776
2025-06-01,teamoth,xensprinkles,win,https://www.chess.com/game/daily/819528776
2025-06-01,jcorr92,xensprinkles,loss,https://www.chess.com/game/daily/819503790
2025-06-01,xensprinkles,jcorr92,win,https://www.chess.com/game/daily/819503790
2025-06-02,jcorr92,teamoth,win,https://www.chess.com/game/daily/818199188
2025-06-02,teamoth,jcorr92,loss,https://www.chess.com/game/daily/818199188
2025-06-02,jcorr92,teamoth,loss,https://www.chess.com/game/daily/822094686
2025-06-02,teamoth,jcorr92,win,https://www.chess.com/game/daily/822094686
2025-06-04,xensprinkles,teamoth,loss,https://www.chess.com/game/daily/822036538
2025-06-04,teamoth,xensprinkles,win,https://www.chess.com/game/daily/822036538
2025-06-04,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/822040012
2025-06-04,euratoole,xensprinkles,win,https://www.chess.com/game/daily/822040012
2025-06-04,jcorr92,xensprinkles,win,https://www.chess.com/game/daily/822035446
2025-06-04,xensprinkles,jcorr92,loss,https://www.chess.com/game/daily/822035446
2025-06-05,euratoole,teamoth,win,https://www.chess.com/game/daily/822196620
2025-06-05,teamoth,euratoole,loss,https://www.chess.com/game/daily/822196620
2025-06-06,jcorr92,euratoole,win,https://www.chess.com/game/daily/822967202
2025-06-06,euratoole,jcorr92,loss,https://www.chess.com/game/daily/822967202
2025-06-08,euratoole,teamoth,win,https://www.chess.com/game/daily/823264372
2025-06-08,teamoth,euratoole,loss,https://www.chess.com/game/daily/823264372
2025-06-09,jcorr92,teamoth,win,https://www.chess.com/game/daily/822529238
2025-06-09,teamoth,jcorr92,loss,https://www.chess.com/game/daily/822529238
2025-06-11,jcorr92,euratoole,win,https://www.chess.com/game/daily/825446004
2025-06-11,euratoole,jcorr92,loss,https://www.chess.com/game/daily/825446004
2025-06-11,euratoole,teamoth,win,https://www.chess.com/game/daily/825052738
2025-06-11,teamoth,euratoole,loss,https://www.chess.com/game/daily/825052738
2025-06-17,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/827062598
2025-06-17,euratoole,xensprinkles,win,https://www.chess.com/game/daily/827062598
2025-06-17,xensprinkles,teamoth,loss,https://www.chess.com/game/daily/826572742
2025-06-17,teamoth,xensprinkles,win,https://www.chess.com/game/daily/826572742
